epsilon, x_error(%), f_error(%)
1e-14, 7.22e-02±3.91e-06, 5.23e-07±1.32e-06
1e-13, 7.22e-02±3.91e-06, 5.23e-07±1.32e-06
1e-12, 7.22e-02±3.91e-06, 5.23e-07±1.32e-06
1e-11, 7.22e-02±3.91e-06, 5.23e-07±1.32e-06
9.999999999999999e-11, 7.22e-02±3.91e-06, 5.23e-07±1.32e-06
9.999999999999999e-10, 7.22e-02±3.91e-06, 5.24e-07±1.32e-06
9.999999999999999e-09, 7.22e-02±3.94e-06, 5.43e-07±1.31e-06
9.999999999999998e-08, 7.22e-02±4.69e-06, 7.52e-07±1.28e-06
9.999999999999997e-07, 7.22e-02±1.16e-05, 3.96e-06±2.22e-06
9.999999999999997e-06, 7.22e-02±3.75e-05, 3.93e-05±1.81e-05
